# Image	Size(bytes)	Filename	Source URL
033	291990	Den store sjøreisen, farge (etsing, koldnål).jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576428277130-XNTTUHHXY6V9KJWSTQO8/Den+store+sj%C3%B8reisen%2C+farge+%28etsing%2C+koldn%C3%A5l%29.jpg
034	1192844	20200409_132129.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610879929202-3HLUD5602K6OJ6D2P6M9/20200409_132129.jpg
035	1200860	20191207_183811.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624710522858-0M1B21IPXDV736CSYHQZ/20191207_183811.jpg
036	232434	Sj%C3%B8reisen_SORT - redigert_web.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624744951027-3R6XL7YS2QU18MCEUNHI/Sj%25C3%25B8reisen_SORT%2B-%2Bredigert_web.jpg
037	309192	Kontemplasjon II %28elementtrykk%29.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624710593536-HQQA4Y0TIM97QXGBX2AG/Kontemplasjon%2BII%2B%2528elementtrykk%2529.jpg
038	5050418	Sort Luciagutt - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/b4728d0d-7265-4e60-aab2-9c51ce3f59a6/Sort+Luciagutt+-+redigert_web.png
039	352452	Knut Steen - redigert_web.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624745048678-U4JIZ89ATR4I2N8YX2ZC/Knut%2BSteen%2B-%2Bredigert_web.jpg
040	220474	Lek - redigert_web.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624745003345-FZ9MCCG7CNPPN3JKH78E/Lek%2B-%2Bredigert_web.jpg
041	44930	Kongsbergknekken.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1615545564896-V0XT2A32IODMTMG8FMH4/Kongsbergknekken.jpg
042	93798	Helmuth Recknagel.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420098667-D9WD8NDC7XG2NKRQLAI1/Helmuth+Recknagel.jpg
043	90094	Espen B.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420096988-T3L6JB3C1Y624Q6EZ2XR/Espen+B.jpg
044	189706	Flygende Titan.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420141365-L8YWKNJGB7AWL05PZPQH/Flygende+Titan.jpg
045	200032	Hyllest til Anette IIII svart hvitt.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420177055-NFQ6NEEIADO1GYTOI7KM/Hyllest+til+Anette+IIII+svart+hvitt.jpg
046	290088	Toralf Engan - redigert.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624745258435-VW1G9BJBHBU5RZDPPDM4/Toralf%2BEngan%2B-%2Bredigert.jpg
047	252842	Hyllest til Anette III svart hvitt.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420141140-040048818GZVKP0PT24K/Hyllest+til+Anette+III+svart+hvitt.jpg
048	285804	Hyllest til Anette III.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420182819-29F6UCY47CWQOF7I97MI/Hyllest+til+Anette+III.jpg
049	149538	Globalisering.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420112014-UMFS7ZTY7D0RNZNINHJ6/Globalisering.jpg
050	255386	Hyllest til Anette IIII.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420186382-URC04G2U1FMY2V8WQ469/Hyllest+til+Anette+IIII.jpg
051	269340	Hyllest til Anette II.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420150266-674Z56YZ9SO52O34YG5L/Hyllest+til+Anette+II.jpg
052	4709474	nattryttere - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/be0cd84b-dbe3-4e6a-999b-2096446c9621/nattryttere+-+redigert_web.png
053	120878	Hyllest til Thor Sjøfarer.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610896673619-B3IG82KCH4ZYDSH8X77U/Hyllest+til+Thor+Sj%C3%B8farer.jpg
054	428532	20210627_223503.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625004930369-GKBTEB57DVNL762V6IXS/20210627_223503.jpg
055	347264	Siste kl%C3%B8ver %28blues for en bl%C3%A5 hest%29.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625004974430-I3DEO6SXS01DP0GS4DV0/Siste%2Bkl%25C3%25B8ver%2B%2528blues%2Bfor%2Ben%2Bbl%25C3%25A5%2Bhest%2529.jpg
056	2545476	SKOG-INT_1- redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/24f6cb77-5ba4-4c04-aadd-f980d0a18534/SKOG-INT_1-+redigert_web.png
057	2768010	SKOG-INT_2- redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/96bcd178-9c11-4d77-8156-f00c86f2778f/SKOG-INT_2-+redigert_web.png
058	2938034	SKOG-INT_3- redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/6c09a060-ef2f-4e4e-947d-27c86a093c00/SKOG-INT_3-+redigert_web.png
059	216202	IMG_0033.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610896827783-VLYJVEBHEUNB2WA1LO6K/IMG_0033.jpg
060	541710	DSCF6100 (2).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610900385511-M50T00HLZ8RKT7X6NUIF/DSCF6100+%282%29.JPG
061	5175452	Gevir - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/07072476-546e-4fe4-992f-d51cd6358d30/Gevir+-+redigert_web.png
062	4505630	Stemningsfragment - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/eee8aa5a-a100-4b80-be53-cdeb727c966e/Stemningsfragment+-+redigert_web.png
063	4703524	Vinterkriger - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/829784c6-fc71-410d-8f5a-b12a9d8f534b/Vinterkriger+-+redigert_web.png
064	116572	DSCF6066 (3).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610899247226-DGF04950O7RPY5L6O8QY/DSCF6066+%283%29.JPG
065	82484	IMG_00061(1)1.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/4a6e04fa-347f-4c6f-80ee-b74423085bfb/IMG_00061%281%291.jpg
066	1562224	Puma_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610896644186-81CF10F5O3U27HFUOICX/Puma.png
067	173226	Mastodont - redigert_web.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624745733486-8YMW0YC1ML2D97MYMFI6/Mastodont%2B-%2Bredigert_web.jpg
068	62418	Arabisk vår 2.jfif	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610895465322-4IGYVTQ5T9GT8HC8X68B/Arabisk+v%C3%A5r+2.jfif
069	298930	DSCF6074 (2).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610899837516-B5YB6OANFZ312X1DPOVN/DSCF6074+%282%29.JPG
070	5270830	Duellen - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/de4df1ed-4d2f-4dbf-b676-e4797abc3ae4/Duellen+-+redigert_web.png
071	281128	Svalene%2Bkommer%2B-%2Bredigert_web.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624745846846-L01QIGYNPBSX10ZBYWP2/Svalene%252Bkommer%252B-%252Bredigert_web.jpg
072	203300	Virgo.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420843813-CN16HZ8JZ6VXKTHE4FFG/Virgo.jpg
073	180254	Aries.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420614559-U9NHWS69W0WEPR6SNHJS/Aries.jpg
074	145186	Taurus.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420808377-UJRLDCECNM8FF9J5M517/Taurus.jpg
075	136536	Scorpio.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420823083-UCK5J0OKHO42SO87QB4P/Scorpio.jpg
076	215898	Sagittarius.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420829105-GBJMHSAQEJWC0RAQHMBO/Sagittarius.jpg
077	171730	Pisces.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420825250-RR3ZHYSCWIKRI6NTHHZ1/Pisces.jpg
078	201724	Libra.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420824347-TWGLF2JMR0VIQHK2AP64/Libra.jpg
079	189042	Leo.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420733671-ZBN4JLEVWUE02SJUD9LJ/Leo.jpg
080	125088	Cancer.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420597770-85S4F3HCHLVARFP357KV/Cancer.jpg
081	156302	Capricorn_01.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420605931-KD6XBCAUY5GE2TLGFM66/Capricorn_01.jpg
082	179568	Gemini.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420613099-GLZOPRT9PUGTWDVPYGPJ/Gemini.jpg
083	195464	Aquarius.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576420616919-05IAXCJ9QLHF3LF5K1J6/Aquarius.jpg
084	522418	Cinque Terre III.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576423430849-E1M9AC9VQNZISJEEBZOY/Cinque+Terre+III.jpg
085	641118	Trond_Knutli_05.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1611257135328-RY5FECI9U35PSUCT61UK/Trond_Knutli_05.jpg
086	970982	Trond_Knutli_06.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576423495796-UU8C98530G5ADAT869QC/Trond_Knutli_06.jpg
087	788076	Trond_Knutli_08.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1611257362456-HZIPHQZU1YRBGQ3G6UDE/Trond_Knutli_08.jpg
088	359784	Trond_Knutli_11.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576427863413-0ZQBRTKSR4DRMSEGG0XB/Trond_Knutli_11.jpg
089	1392676	Trond_Knutli_16 (2).jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576423548119-Y1VNCZ32F7LU68QCKS17/Trond_Knutli_16+%282%29.jpg
