Navn;År;Teknikk;Pris;Størrelse (original);Størrelse (digital);Tilgjengelighet
Rødt lemurisk landskap;;Linosnitt/elementtrykk;;96×57 cm;;Utsolgt
Rosalill;;Håndkolorert koldnål;kr 5 000,00;41×34 cm;;Original tilgjengelig
Sagittarius;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Saigon;;Serigrafi;;;;Utsolgt
Sareptas krukke;;Serigrafi;;35×55 cm;;Utsolgt
Scorpio;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Siste Kløver (blues for en blå hest);;Håndkolorert koldnål;6 000 kr / 1 750 kr digital;48,5×50 cm;;Original tilgjengelig
Sjøreisen_sort;;Grafikk;;;;Kun digitaltrykk
Skog 1;;Grafikk;;;;Kun digitaltrykk
Skog 2;;Grafikk;;;;Kun digitaltrykk
Skog 3;;Grafikk;;;;Kun digitaltrykk
Sort hest i rød høst;;Elementtrykk/særtrykk;;48,5×36,5 cm;;Kun digitaltrykk
Sort Luciagutt;;Håndkolorert litografi;kr 2 500,00;29×26 cm;;Original tilgjengelig
Stemningsfragment;;Litografi;;;;Kun digitaltrykk
Arabisk vår (svalene kommer);;Linosnitt/elementtrykk/særtrykk;Etter forespørsel;103×166 cm;;Original tilgjengelig
Tattoo;;Akryl på papir;;55×75 cm;;Utsolgt
Taurus;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengelig
Nattdikt;;Linosnitt/elementtrykk (særtrykk);kr 20 000,00;100×200 cm;;Original tilgjengelig
Toralf Engan;;Etsning;;;;Kun digitaltrykk
Trekløver;;Håndkolorert koldnål;kr 6 000,00;48,5×50 cm;;Original tilgjengelig
Triptyk;;Elementtrykk;;;;Utsolgt
Trofé 2;;Linosnitt;;;;Kun digitaltrykk
Trofé 1;;Linosnitt;;;;Kun digitaltrykk
Undring 1;;;;;;Kun digitaltrykk
Undring 2;;;;;;Kun digitaltrykk
Ut mot Havet;;Akryl på lerret;kr 8 000,00;120×56 cm;;Original tilgjengelig
Uten Tittel 1983;1983;Serigrafi;;;;Utsolgt
Ved Havet;;Håndkolorert koldnål/elementtrykk;;66×59,5 cm;;Kun digitaltrykk
Vinterkriger;;Serigrafi;kr 5 000,00;;;Original tilgjengelig
Virgo;2005;Håndkolorert litografi;kr 2 250,00;37×37 cm;;Original tilgjengeligAkryl TBD 1;;Akryl;;;;Under arbeid
Akryl TBD 2;;Akryl;;;;Under arbeid
Akryl TBD 3;;Akryl;;;;Under arbeid
Akryl TBD 4;;Akryl;;;;Under arbeid
Akryl TBD 5;;Akryl;;;;Under arbeid
Akryl TBD 6;;Akryl;;;;Under arbeid
Brent bilde;;;;;;Under arbeid
Elg;;;;;;Under arbeid
End of the World;;;;;;Under arbeid
Hest på kanten og End of the World;;;;;;Under arbeid
Hest på kanten;;;;;;Under arbeid
Himmel og hest;;;;;;Under arbeid
Nasjonaluromatikk;;;;;;Under arbeid
Stjernedans;;;;;;Under arbeid
